rt,responses,trial_type,time_elapsed,sequence,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,detour_trial,linedressed_detor
null,,learn_phase(without_color),313847,,black_plus_sign,,,,null,GW/westpalmbeach.png,GW/leesburg.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),314518,,yellow,,,,null,GW/westpalmbeach.png,GW/leesburg.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,315021,,yellow,,,,null,GW/westpalmbeach.png,GW/leesburg.png,,,,,,,,,,,,,,,,,
1081.5,,rt_thecrossant_black,316356,,black_plus_sign,,,,50,,,1,1,,,,,,,,,,,,,,,
null,,color_black,316459,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),319463,,black_plus_sign,,,,null,GW/newhope.png,GW/boulder.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),320255,,blue,,,,null,GW/newhope.png,GW/boulder.png,,,,,,,,,,,,,,,,,
441.1999999997206,,rt_plussign_withcolor,320758,,blue,,,,49,GW/newhope.png,GW/boulder.png,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,321973,,black_plus_sign,,,,null,,,1,1,,,,,,,,,,,,,,,
null,,color_black,322077,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),325081,,black_plus_sign,,,,null,GW/leesburg.png,GW/hotsprings.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),325841,,blue,,,,null,GW/leesburg.png,GW/hotsprings.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,326344,,blue,,,,null,GW/leesburg.png,GW/hotsprings.png,,,,,,,,,,,,,,,,,
906.8000000002794,,rt_thecrossant_black,327592,,black_plus_sign,,,,49,,,1,1,,,,,,,,,,,,,,,
null,,color_black,327696,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),330700,,black_plus_sign,,,,null,GW/leesburg.png,GW/shreveport.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),331710,,blue,,,,null,GW/leesburg.png,GW/shreveport.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,332213,,blue,,,,null,GW/leesburg.png,GW/shreveport.png,,,,,,,,,,,,,,,,,
